contrast_high,probabilityLeft,n,rt_median_mouse,rt_iqr_mouse,rt_median_model,model,condition
0,0.2,999,0.48953813060870743,1.0795852433162736,0.43910332996628637,standard,history_only
0,0.5,222,0.5325293355415184,0.8674471178023317,0.47152258582219886,standard,history_only
0,0.8,996,0.5114299655844263,0.8855850319689011,0.47324183629721533,standard,history_only
1,0.2,620,0.31529999999997926,0.23224468913832652,0.31944897068855266,standard,history_only
1,0.5,127,0.3508981369002981,0.2527195707226326,0.31909774590437623,standard,history_only
1,0.8,655,0.3830462303742479,0.4370181905268282,0.33828131246157506,standard,history_only
0,0.2,999,0.48953813060870743,1.0795852433162736,0.6083500050774838,pc,history_only
0,0.5,222,0.5325293355415184,0.8674471178023317,0.6869782356935794,pc,history_only
0,0.8,996,0.5114299655844263,0.8855850319689011,0.6363472987080163,pc,history_only
1,0.2,620,0.31529999999997926,0.23224468913832652,0.3185016171607984,pc,history_only
1,0.5,127,0.3508981369002981,0.2527195707226326,0.3734010275978277,pc,history_only
1,0.8,655,0.3830462303742479,0.4370181905268282,0.3911285835065737,pc,history_only
0,0.2,999,0.48953813060870743,1.0795852433162736,0.6452508049922867,bayes,history_only
0,0.5,222,0.5325293355415184,0.8674471178023317,0.6880254381561675,bayes,history_only
0,0.8,996,0.5114299655844263,0.8855850319689011,0.815086520380502,bayes,history_only
1,0.2,620,0.31529999999997926,0.23224468913832652,0.4368662788343747,bayes,history_only
1,0.5,127,0.3508981369002981,0.2527195707226326,0.5350789683596038,bayes,history_only
1,0.8,655,0.3830462303742479,0.4370181905268282,0.5494049415893124,bayes,history_only
0,0.2,999,0.48953813060870743,1.0795852433162736,0.4686352288479738,standard,full_information
0,0.5,222,0.5325293355415184,0.8674471178023317,0.5297868283246097,standard,full_information
0,0.8,996,0.5114299655844263,0.8855850319689011,0.5167547200306288,standard,full_information
1,0.2,620,0.31529999999997926,0.23224468913832652,0.31948065197846975,standard,full_information
1,0.5,127,0.3508981369002981,0.2527195707226326,0.3401691119285606,standard,full_information
1,0.8,655,0.3830462303742479,0.4370181905268282,0.3689372200963393,standard,full_information
0,0.2,999,0.48953813060870743,1.0795852433162736,0.6671667264523384,pc,full_information
0,0.5,222,0.5325293355415184,0.8674471178023317,0.6260775892646764,pc,full_information
0,0.8,996,0.5114299655844263,0.8855850319689011,0.778890889783199,pc,full_information
1,0.2,620,0.31529999999997926,0.23224468913832652,0.3313993838799907,pc,full_information
1,0.5,127,0.3508981369002981,0.2527195707226326,0.63404500641911,pc,full_information
1,0.8,655,0.3830462303742479,0.4370181905268282,0.9808900817110704,pc,full_information
0,0.2,999,0.48953813060870743,1.0795852433162736,0.6568908018153331,bayes,full_information
0,0.5,222,0.5325293355415184,0.8674471178023317,0.6897435386306991,bayes,full_information
0,0.8,996,0.5114299655844263,0.8855850319689011,0.8107282053944587,bayes,full_information
1,0.2,620,0.31529999999997926,0.23224468913832652,0.4389710999116112,bayes,full_information
1,0.5,127,0.3508981369002981,0.2527195707226326,0.5411366688969393,bayes,full_information
1,0.8,655,0.3830462303742479,0.4370181905268282,0.5549819200777799,bayes,full_information
0,0.5,222,0.5325293355415184,0.8674471178023317,0.6518816757868604,standard,fixed_prior
1,0.5,127,0.3508981369002981,0.2527195707226326,0.3772398753914808,standard,fixed_prior
0,0.5,222,0.5325293355415184,0.8674471178023317,0.6974289061673216,pc,fixed_prior
1,0.5,127,0.3508981369002981,0.2527195707226326,0.4511393966429252,pc,fixed_prior
0,0.5,222,0.5325293355415184,0.8674471178023317,0.6089176351881092,bayes,fixed_prior
1,0.5,127,0.3508981369002981,0.2527195707226326,0.4544737027631392,bayes,fixed_prior
