rel_trial,n,p_align_mouse,p_align_model,prior_q_mean
-10,62,0.7580645161290323,0.6065730519833104,0.5012632170992513
-9,63,0.7142857142857143,0.6340255408533035,0.49573053679769
-8,63,0.7619047619047619,0.6317112599573438,0.4931726469880059
-7,61,0.8032786885245902,0.6308306941732031,0.4998495305170778
-6,59,0.7966101694915254,0.6484449392153044,0.49994583705724294
-5,63,0.7777777777777778,0.6195798781183031,0.4965694835261693
-4,61,0.6721311475409836,0.6273658566299032,0.4930336455829808
-3,62,0.6612903225806451,0.5970598209288812,0.4989022550082976
-2,62,0.6774193548387096,0.5914565274311651,0.5094858186860238
-1,63,0.7142857142857143,0.6044379259858813,0.5126592337139069
0,63,0.4444444444444444,0.4913095635554147,0.503958670392869
1,62,0.5967741935483871,0.5468961303272555,0.5058214029958171
2,63,0.5555555555555556,0.5848897075842298,0.5058053485930912
3,62,0.532258064516129,0.5823951440472757,0.5071276729145358
4,62,0.5967741935483871,0.5874766649738434,0.508922595650919
5,63,0.6507936507936508,0.5923940506246355,0.5204067045734042
6,63,0.6190476190476191,0.5880320384388878,0.5204644624202971
7,60,0.6166666666666667,0.5879103675484657,0.5213068877657254
8,62,0.6290322580645161,0.5918113687826742,0.5235952220616802
9,63,0.6984126984126984,0.6030007179767366,0.5100162308367472
10,60,0.6833333333333333,0.6126933346192042,0.5099492127696673
11,63,0.6984126984126984,0.619646124896549,0.5027715852336277
12,62,0.6612903225806451,0.6303113285572298,0.49695531543224086
13,63,0.6666666666666666,0.6012103656927744,0.48590151421607486
14,63,0.6507936507936508,0.6035371117648625,0.48488096538044156
15,62,0.7096774193548387,0.6008475966030552,0.4884846662321398
16,63,0.7142857142857143,0.6326933479498303,0.49512560405428446
17,62,0.6774193548387096,0.6183033542286965,0.49801619302841926
18,61,0.7213114754098361,0.6227800999997092,0.4967398965945009
19,61,0.7377049180327869,0.6272057961733615,0.4924310230817951
20,63,0.7142857142857143,0.6306690353722799,0.49142340866346207
21,62,0.7419354838709677,0.6358645524709455,0.4909009130731706
22,61,0.7540983606557377,0.6473519477199335,0.4964713991665449
23,63,0.6825396825396826,0.628539291875703,0.49808021008022246
24,62,0.6935483870967742,0.6232374872892134,0.5032009477576902
25,62,0.7580645161290323,0.627692989764675,0.5009449499268686
26,62,0.7258064516129032,0.6445101932171853,0.4971412367397739
27,63,0.7936507936507936,0.631001489503043,0.48981094502267386
28,60,0.8,0.646511006851991,0.4907891169190407
29,61,0.7377049180327869,0.6371621130431284,0.49925940496022586
30,62,0.7741935483870968,0.6280891770316709,0.49684540398659244
