region,model,ve_linear_recal,corr,n_sessions
ACAd,gru,0.034428498046310374,0.17767192545342864,4
ACAd,gru_pc,0.0195580251896104,0.13218431192497507,4
ACAd,tanh_bptt,0.033420893149257155,0.1695847971024669,4
ACAd,tanh_pc,0.011685273323676375,0.10788556048974697,4
MOp,gru,0.12860234363836368,0.2987872031461248,3
MOp,gru_pc,0.045674204307890466,0.19173965771484724,3
MOp,tanh_bptt,0.1180762579820381,0.28115097217489876,3
MOp,tanh_pc,0.035069094487602294,0.16269257931116302,3
MOs,gru,0.20531355564570639,0.4109481778263298,8
MOs,gru_pc,0.08850633247786877,0.2734380306738498,8
MOs,tanh_bptt,0.19742098522294818,0.4024150297018803,8
MOs,tanh_pc,0.07293957409980613,0.2500813098600423,8
vlOFC_orbvl,gru,0.19746444829653503,0.3498217510538032,5
vlOFC_orbvl,gru_pc,0.0813647162112593,0.21724648838963767,5
vlOFC_orbvl,tanh_bptt,0.1867829625578078,0.33983800041626566,5
vlOFC_orbvl,tanh_pc,0.07247369936838478,0.20205252172495758,5
